Zeit;Weg;Kraft;Länge;dL_ORG
6,36;1,88;4,84;2,58;2,58
6,38;1,88;4,79;2,58;2,57
6,40;1,89;4,79;2,57;2,57
6,42;1,90;4,76;2,57;2,56
6,44;1,90;4,73;2,57;2,56
6,46;1,91;4,73;2,56;2,56
6,48;1,91;4,72;2,55;2,55
6,50;1,92;4,69;2,54;2,54
6,52;1,93;4,70;2,54;2,54
6,54;1,93;4,69;2,53;2,53
6,56;1,94;4,67;2,52;2,52
6,58;1,94;4,69;2,52;2,52
6,60;1,95;4,68;2,51;2,51
6,62;1,95;4,65;2,50;2,50
6,64;1,96;4,67;2,50;2,50
6,66;1,97;4,66;2,50;2,50
6,68;1,97;4,63;2,50;2,49
6,70;1,98;4,66;2,49;2,49
6,72;1,98;4,65;2,49;2,49
6,74;1,99;4,62;2,49;2,49
6,76;2,00;4,65;2,49;2,49
6,78;2,00;4,64;2,49;2,49
6,80;2,01;4,62;2,49;2,49
6,82;2,01;4,64;2,49;2,49
6,84;2,02;4,63;2,49;2,49
6,86;2,02;4,61;2,49;2,49
6,88;2,03;4,64;2,50;2,49
6,90;2,04;4,62;2,50;2,49
6,92;2,04;4,60;2,50;2,49
6,94;2,05;4,63;2,50;2,50
6,96;2,05;4,62;2,50;2,50
6,98;2,06;4,60;2,50;2,50
7,00;2,07;4,63;2,50;2,50
7,02;2,07;4,62;2,51;2,50
7,04;2,08;4,60;2,51;2,51
7,06;2,08;4,63;2,51;2,51
7,08;2,09;4,62;2,51;2,51
7,10;2,09;4,60;2,51;2,51
7,12;2,10;4,64;2,52;2,51
7,14;2,11;4,61;2,52;2,51
7,16;2,11;4,60;2,52;2,52
7,18;2,12;4,63;2,52;2,52
7,20;2,12;4,62;2,52;2,52
7,22;2,13;4,60;2,53;2,52
7,24;2,14;4,64;2,53;2,53
7,26;2,14;4,62;2,53;2,53
7,28;2,15;4,61;2,53;2,53
7,30;2,15;4,64;2,54;2,53
7,32;2,16;4,62;2,54;2,54
7,34;2,16;4,61;2,54;2,54
