Strain;Stress
0,08864381212335815; 0,7833705801783777
0,08936653422469615; 0,7868457810980863
0,09008929969196222; 0,7906804855612133
0,09081199288268157; 0,7939160174519765
0,09153472943932894; 0,797511052886158
0,09225750936190436; 0,8014655918637574
0,09298020255262368; 0,8047011237545207
0,09370296801988975; 0,8085358282176476
0,09442564675529974; 0,811651525593938
0,09514838331194711; 0,8152465610281194
0,0958710620473571; 0,8183622584044101
0,09659381305931383; 0,8220771283530641
0,09731646288410514; 0,8249531567004093
0,09803918498544317; 0,828428357620118
0,09876189263147184; 0,8317837240253539
0,09948460027750053; 0,83513909043059
0,10020727901291052; 0,8382547878068805
0,10093004448017659; 0,8420894922700074
0,10165263648373052; 0,8444861825594616
0,10237537304037789; 0,848081217993643
0,10309805177578787; 0,8511969153699336
0,10382081724305395; 0,8550316198330604
0,10454346706784526; 0,8579076481804055
0,10526613134794588; 0,8609035110422234
0,1059888100833559; 0,864019208418514
0,10671150327407525; 0,8672547403092772
0,10743413864355716; 0,8700109341421496
0,10815681737896718; 0,8731266315184402
0,10887946720375849; 0,8760026598657853
0,10960216039447784; 0,8792381917565486
0,11032478130865042; 0,8818745510749483
0,11104746004406041; 0,8849902484512389
0,1117701676900891; 0,8883456148564748
0,1124927741489524; 0,8908621396604017
0,11321542397374368; 0,893738168007747
0,11393803043260695; 0,8962546928116739
0,11466073807863564; 0,8996100592169098
0,11538327226095219; 0,9015274114484733
0,11610589317512476; 0,904163770766873
0,1168286441870815; 0,9078786407155272
0,11755116391408871; 0,9096761584326178
0,11827375591764261; 0,9120728487220721
0,11899644910836193; 0,9153083806128354
0,11971904111191586; 0,9177050709022896
0,1204416620260885; 0,9203414302206894
0,12116426848495174; 0,9228579550246163
0,12188697613098043; 0,9262133214298522
0,12260952476860631; 0,9282505081758885
0,12333217459339763; 0,9311265365232335
0,12405473768633285; 0,9332835577837424
0,12477731523457744; 0,935560413558724
0,125499892782822; 0,9378372693337056
0,1262224703310666; 0,9401141251086871
0,12694516352178592; 0,9433496569994504
0,12766778443595853; 0,9459860163178501
0,12839043426074984; 0,9488620446651952
0,12911296844306638; 0,9507793968967586
0,12983547371476423; 0,9524570800993766
0,13055813799486488; 0,9554529429611944
0,1312808890068216; 0,9591678129098485
0,13200340873382876; 0,9609653306269392
0,13278605532005786; 0,9622235930289027
0,1331473585494895; 0,9634818554308662
